ID;Código;Descrição;Unidade;Classificação fiscal;Origem;Preço;Valor IPI fixo;Observações;Situação;Estoque;Preço de custo;Cód no fabricante;Fabricante;Localização;Estoque maximo;Estoque minimo;Peso líquido (Kg);Peso bruto (Kg);GTIN/EAN;GTIN/EAN da embalagem;Largura do Produto;Altura do Produto;Profundidade do produto;Data Validade;Descrição do Produto no Fornecedor;Descrição Complementar;Unidade por Caixa;Produto Variação;Tipo Produção;Classe de enquadramento do IPI;Código da lista de serviços;Tipo do item;Grupo de Tags/Tags;Tributos;Código Pai;Código Integração;Grupo de produtos;Marca;CEST
;AL13027901;Luminária de Mesa Tridente;;;; 1.163,24 ;;;Ativo;0;605;0;Casa Jupiter;Bairro Pompeia – SP;0;0;0;0;;;30;54,5;17;31/12/1969;O nascimento de um novo desejo.;Luminária de Mesa feita em cobre, latão e ferro, com lâmpadas de filamento de carbono.;1;Produto;Própria;nenhu;nenhu;;;4;;;Luminárias;Casa Júpiter;
;AL13027902;Luminária de Mesa Cross;;;; 1.499,71 ;;;Ativo;0;780;0;Casa Jupiter;Bairro Pompeia – SP;0;0;0;0;;;39;65;13,5;31/12/1969;;Luminária de Mesa feita em cobre, latão e ferro, com lâmpadas de filamento de carbono.;1;Produto;Própria;nenhu;nenhu;;;4;;;Luminárias;Casa Júpiter;
;AL13027903;EFE;;;; 1.099,90 ;;;Ativo;0;550;0;Casa Jupiter;Bairro Pompeia – SP;0;0;0;0;;;12,5;69,5;13;31/12/1969;O livre arbítrio.;Luminária de Mesa feita em cobre, latão e ferro, com lâmpadas de filamento de carbono.;1;Produto;Própria;nenhu;nenhu;;;4;;;Luminárias;Casa Júpiter;
;AL13027904;Cactus;;;; 1.483,90 ;;;Ativo;0;742;0;Casa Jupiter;Bairro Pompeia – SP;0;0;0;0;;;28;54;17;31/12/1969;A luz, o corpo e a alma;Luminária de Mesa feita em cobre, latão e ferro, com lâmpadas de filamento de carbono.;1;Produto;Própria;nenhu;nenhu;;;4;;;Luminárias;Casa Júpiter;
;AL13027905;Diagonal;;;;579,9;;;Ativo;0;290;0;Casa Jupiter;Bairro Pompeia – SP;0;0;0;0;;;16;33,5;16;31/12/1969;Minimalismo, a pequena luz que conduz a transformação.;Luminária de Mesa feita em cobre, latão e ferro, com lâmpadas de filamento de carbono.;1;Produto;Própria;nenhu;nenhu;;;4;;;Luminárias;Casa Júpiter;
;AL13027906;Pêndulo;;;;619,9;;;Ativo;0;310;0;Casa Jupiter;Bairro Pompeia – SP;0;0;0;0;;;17;31;17;31/12/1969;Buscando o equilíbrio;Luminária de Mesa feita em cobre, latão e ferro, com lâmpadas de filamento de carbono.;1;Produto;Própria;nenhu;nenhu;;;4;;;Luminárias;Casa Júpiter;
;AL13027907;Dentro;;;;619,9;;;Ativo;0;310;0;Casa Jupiter;Bairro Pompeia – SP;0;0;0;0;;;27;27;10,5;31/12/1969;A seta e o alvo.;Luminária de Mesa feita em cobre, latão e ferro, com lâmpadas de filamento de carbono.;1;Produto;Própria;nenhu;nenhu;;;4;;;Luminárias;Casa Júpiter;
;AL13027908;Escada #2;;;; 1.799,90 ;;;Ativo;0;900;0;Casa Jupiter;Bairro Pompeia – SP;0;0;0;0;;;42;180;4;31/12/1969;Alcance.;Luminária de Chão feita em cobre, latão e ferro, com lâmpadas de filamento de carbono.;1;Produto;Própria;nenhu;nenhu;;;4;;;Luminárias;Casa Júpiter;
;AL13027909;Escada #3;;;; 1.799,90 ;;;Ativo;0;900;0;Casa Jupiter;Bairro Pompeia – SP;0;0;0;0;;;37;150;4;31/12/1969;Alcance.;Luminária de Chão feita em cobre, latão e ferro, com lâmpadas de filamento de carbono.;1;Produto;Própria;nenhu;nenhu;;;4;;;Luminárias;Casa Júpiter;
;AL13027910;Up;;;; 1.599,90 ;;;Ativo;0;800;0;Casa Jupiter;Bairro Pompeia – SP;0;0;0;0;;;26;154;26;31/12/1969;Eleva;Luminária de Chão feita em cobre, latão e ferro, com lâmpadas de filamento de carbono.;1;Produto;Própria;nenhu;nenhu;;;4;;;Luminárias;Casa Júpiter;
;AL13027911;Gota;;;; 1.719,90 ;;;Ativo;0;860;0;Casa Jupiter;Bairro Pompeia – SP;0;0;0;0;;;28;130;28;31/12/1969;Acolhe.;Luminária de Chão feita em cobre, latão e ferro, com lâmpadas de filamento de carbono.;1;Produto;Própria;nenhu;nenhu;;;4;;;Luminárias;Casa Júpiter;
;AL13027912;Trevo;;;; 2.199,90 ;;;Ativo;0;1100;0;Casa Jupiter;Bairro Pompeia – SP;0;0;0;0;;;35;164;35;31/12/1969;Olho no olho.;Luminária de Chão feita em cobre, latão e ferro, com lâmpadas de filamento de carbono.;1;Produto;Própria;nenhu;nenhu;;;4;;;Luminárias;Casa Júpiter;
;AL130210601;Triplo;;;;319,9;;;Ativo;0;160;0;Casa Jupiter;Bairro Pompeia – SP;0;0;0;0;;;22;24;14;31/12/1969;Todos somos um.;Castiçal feito em cobre, latão e ferro, com lâmpadas de filamento de carbono.;1;Produto;Própria;nenhu;nenhu;;;4;;;Castiçais;Casa Júpiter;
;AL130210602;Duplo;;;;259,9;;;Ativo;0;130;0;Casa Jupiter;Bairro Pompeia – SP;0;0;0;0;;;14;22;4,2;31/12/1969;O compartilhar;Castiçal feito em cobre, latão e ferro, com lâmpadas de filamento de carbono.;1;Produto;Própria;nenhu;nenhu;;;4;;;Castiçais;Casa Júpiter;
;AL130210603;Solo;;;;107,9;;;Ativo;0;54;0;Casa Jupiter;Bairro Pompeia – SP;0;0;0;0;;;4,2;19;4,2;31/12/1969;O ser.;Castiçal feito em cobre, latão e ferro, com lâmpadas de filamento de carbono.;1;Produto;Própria;nenhu;nenhu;;;4;;;Castiçais;Casa Júpiter;
;AL13015701;Banqueta;;;; 1.199,90 ;;;Ativo;0;600;0;Casa Jupiter;Bairro Pompeia – SP;0;0;0;0;;;33;73;30;31/12/1969;O descansar.;Banqueta feita com os pés em cobre e assento em madeira jatobá ;1;Produto;Própria;nenhu;nenhu;;;4;;;Banqueta;Casa Júpiter;
